symbol,name,sector,market,added_date,removed_date
HRL,Hormel Foods,Consumer Staples,US,"",""
HST,Host Hotels & Resorts,Real Estate,US,"",""
HWM,Howmet Aerospace,Industrials,US,"",""
HPQ,HP Inc.,Information Technology,US,"",""
HUBB,Hubbell Incorporated,Industrials,US,"",""
HUM,Humana,Health Care,US,"",""
HBAN,Huntington Bancshares,Financials,US,"",""
HII,Huntington Ingalls Industries,Industrials,US,"",""
IBM,IBM,Information Technology,US,"",""
IEX,IDEX Corporation,Industrials,US,"",""
IDXX,Idexx Laboratories,Health Care,US,"",""
ITW,Illinois Tool Works,Industrials,US,"",""
INCY,Incyte,Health Care,US,"",""
IR,Ingersoll Rand,Industrials,US,"",""
PODD,Insulet Corporation,Health Care,US,"",""
INTC,Intel,Information Technology,US,"",""
IBKR,Interactive Brokers,Financials,US,"",""
ICE,Intercontinental Exchange,Financials,US,"",""
IFF,International Flavors & Fragrances,Materials,US,"",""
IP,International Paper,Materials,US,"",""
INTU,Intuit,Information Technology,US,"",""
ISRG,Intuitive Surgical,Health Care,US,"",""
IVZ,Invesco,Financials,US,"",""
INVH,Invitation Homes,Real Estate,US,"",""
IQV,IQVIA,Health Care,US,"",""
IRM,Iron Mountain,Real Estate,US,"",""
JBHT,J.B. Hunt,Industrials,US,"",""
JBL,Jabil,Information Technology,US,"",""
JKHY,Jack Henry & Associates,Financials,US,"",""
J,Jacobs Solutions,Industrials,US,"",""
JNJ,Johnson & Johnson,Health Care,US,"",""
JCI,Johnson Controls,Industrials,US,"",""
JPM,JPMorgan Chase,Financials,US,"",""
KVUE,Kenvue,Consumer Staples,US,"",""
KDP,Keurig Dr Pepper,Consumer Staples,US,"",""
KEY,KeyCorp,Financials,US,"",""
KEYS,Keysight Technologies,Information Technology,US,"",""
KMB,Kimberly-Clark,Consumer Staples,US,"",""
KIM,Kimco Realty,Real Estate,US,"",""
KMI,Kinder Morgan,Energy,US,"",""
KKR,KKR & Co.,Financials,US,"",""
KLAC,KLA Corporation,Information Technology,US,"",""
KHC,Kraft Heinz,Consumer Staples,US,"",""
KR,Kroger,Consumer Staples,US,"",""
LHX,L3Harris,Industrials,US,"",""
LH,Labcorp,Health Care,US,"",""
LRCX,Lam Research,Information Technology,US,"",""
LVS,Las Vegas Sands,Consumer Discretionary,US,"",""
LDOS,Leidos,Industrials,US,"",""
LEN,Lennar,Consumer Discretionary,US,"",""
LII,Lennox International,Industrials,US,"",""
LLY,Lilly (Eli),Health Care,US,"",""
LIN,Linde plc,Materials,US,"",""
LYV,Live Nation Entertainment,Communication Services,US,"",""
LMT,Lockheed Martin,Industrials,US,"",""
L,Loews Corporation,Financials,US,"",""
LOW,Lowe's,Consumer Discretionary,US,"",""
LULU,Lululemon Athletica,Consumer Discretionary,US,"",""
LITE,Lumentum,Information Technology,US,"",""
LYB,LyondellBasell,Materials,US,"",""
MTB,M&T Bank,Financials,US,"",""
MPC,Marathon Petroleum,Energy,US,"",""
MAR,Marriott International,Consumer Discretionary,US,"",""
MRSH,Marsh McLennan,Financials,US,"",""
MLM,Martin Marietta Materials,Materials,US,"",""
MAS,Masco,Industrials,US,"",""
MA,Mastercard,Financials,US,"",""
MKC,McCormick & Company,Consumer Staples,US,"",""
MCD,McDonald's,Consumer Discretionary,US,"",""
MCK,McKesson Corporation,Health Care,US,"",""
MDT,Medtronic,Health Care,US,"",""
MRK,Merck & Co.,Health Care,US,"",""
